variant_id,jd_id,provider,model,score,justification,timestamp
base_01_v00,jd_01,groq,llama-3.3-70b-versatile,10,Strong match for backend engineer role.,2026-07-06T22:42:16.459534+00:00
base_01_v00,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:42:18.628538+00:00
base_01_v00,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:42:20.859595+00:00
base_01_v01,jd_01,groq,llama-3.3-70b-versatile,10,Strong match for backend engineer role.,2026-07-06T22:42:23.078194+00:00
base_01_v01,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:42:25.304636+00:00
base_01_v01,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:42:35.571954+00:00
base_01_v02,jd_01,groq,llama-3.3-70b-versatile,10,Matches job requirements perfectly.,2026-07-06T22:42:37.739564+00:00
base_01_v02,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:42:39.909137+00:00
base_01_v02,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:42:42.097345+00:00
base_01_v03,jd_01,groq,llama-3.3-70b-versatile,10,Strong match for backend engineer role.,2026-07-06T22:42:44.313110+00:00
base_01_v03,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:42:46.507569+00:00
base_01_v03,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:42:48.715688+00:00
base_01_v04,jd_01,groq,llama-3.3-70b-versatile,9,Strong experience in distributed systems,2026-07-06T22:42:50.874656+00:00
base_01_v04,jd_02,groq,llama-3.3-70b-versatile,9,Strong experience in production issues and tooling.,2026-07-06T22:42:53.106647+00:00
base_01_v04,jd_03,groq,llama-3.3-70b-versatile,9,Strong data engineering experience.,2026-07-06T22:42:55.248642+00:00
base_01_v05,jd_01,groq,llama-3.3-70b-versatile,9,Strong experience in distributed systems,2026-07-06T22:42:57.405247+00:00
base_01_v05,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical experience,2026-07-06T22:42:59.603268+00:00
base_01_v05,jd_03,groq,llama-3.3-70b-versatile,9,Strong data engineering experience,2026-07-06T22:43:01.779067+00:00
base_01_v06,jd_01,groq,llama-3.3-70b-versatile,9,Strong experience in distributed systems,2026-07-06T22:43:04.005910+00:00
base_01_v06,jd_02,groq,llama-3.3-70b-versatile,9,Strong experience in performance and scalability.,2026-07-06T22:43:06.169289+00:00
base_01_v06,jd_03,groq,llama-3.3-70b-versatile,9,Strong data engineering experience.,2026-07-06T22:43:08.308694+00:00
base_01_v07,jd_01,groq,llama-3.3-70b-versatile,9,Strong experience in distributed systems,2026-07-06T22:43:10.463770+00:00
base_01_v07,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical experience and skills match.,2026-07-06T22:43:12.638858+00:00
base_01_v07,jd_03,groq,llama-3.3-70b-versatile,9,Strong data engineering skills match job requirements.,2026-07-06T22:43:14.822344+00:00
base_01_v08,jd_01,groq,llama-3.3-70b-versatile,10,Strong match for backend engineer role.,2026-07-06T22:43:17.002517+00:00
base_01_v08,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:43:19.199809+00:00
base_01_v08,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:43:21.372580+00:00
base_01_v09,jd_01,groq,llama-3.3-70b-versatile,10,Strong match for backend engineer role.,2026-07-06T22:43:23.549982+00:00
base_01_v09,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:43:25.731654+00:00
base_01_v09,jd_03,groq,llama-3.3-70b-versatile,10,Strong Spark and SQL skills.,2026-07-06T22:43:27.907684+00:00
base_01_v10,jd_01,groq,llama-3.3-70b-versatile,10,Matches job requirements perfectly.,2026-07-06T22:43:30.112928+00:00
base_01_v10,jd_02,groq,llama-3.3-70b-versatile,9,Strong technical skills match job requirements.,2026-07-06T22:43:32.350712+00:00
base_01_v10,jd_03,groq,llama-3.3-70b-versatile,10,Strong match for Data Engineer role.,2026-07-06T22:43:34.545209+00:00
